Infinitive,реве́ть
Zaliznyak Class,irreg-b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,реву́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,реве́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ревя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,реве́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,реве́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,реву́
2nd Sing,ревёшь
3rd Sing,ревёт
1st Pl,ревём
2nd Pl,ревёте
3rd Pl,реву́т
Past M,реве́л
Past F,реве́ла
Past N,реве́ло
Past PL,реве́ли
Imp S,реви́
Imp PL,реви́те
