Infinitive,реаги́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,реаги́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,реаги́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,реаги́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,реаги́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,реаги́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,реаги́рую
2nd Sing,реаги́руешь
3rd Sing,реаги́рует
1st Pl,реаги́руем
2nd Pl,реаги́руете
3rd Pl,реаги́руют
Past M,реаги́ровал
Past F,реаги́ровала
Past N,реаги́ровало
Past PL,реаги́ровали
Imp S,реаги́руй
Imp PL,реаги́руйте
