Infinitive,реде́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,реде́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,реде́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,реде́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,реде́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,реде́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,реде́ю
2nd Sing,реде́ешь
3rd Sing,реде́ет
1st Pl,реде́ем
2nd Pl,реде́ете
3rd Pl,реде́ют
Past M,реде́л
Past F,реде́ла
Past N,реде́ло
Past PL,реде́ли
Imp S,реде́й
Imp PL,реде́йте
