Infinitive,реши́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,реши́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,реши́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,решу́сь
2nd Sing,реши́шься
3rd Sing,реши́тся
1st Pl,реши́мся
2nd Pl,реши́тесь
3rd Pl,реша́тся
Past M,реши́лся
Past F,реши́лась
Past N,реши́лось
Past PL,реши́лись
Imp S,реши́сь
Imp PL,реши́тесь
