Infinitive,хвали́ть
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,хваля́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,хвали́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,хвали́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,хва́ленный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,хваля́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,хвали́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,хвали́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,хвалю́
2nd Sing,хва́лишь
3rd Sing,хва́лит
1st Pl,хва́лим
2nd Pl,хва́лите
3rd Pl,хва́лят
Past M,хвали́л
Past F,хвали́ла
Past N,хвали́ло
Past PL,хвали́ли
Imp S,хвали́
Imp PL,хвали́те
