Infinitive,хвата́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,хвата́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,хвата́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,хвата́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,хвата́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,хвата́юсь
2nd Sing,хвата́ешься
3rd Sing,хвата́ется
1st Pl,хвата́емся
2nd Pl,хвата́етесь
3rd Pl,хвата́ются
Past M,хвата́лся
Past F,хвата́лась
Past N,хвата́лось
Past PL,хвата́лись
Imp S,хвата́йся
Imp PL,хвата́йтесь
