Infinitive,хвати́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,хвати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,хва́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,хвати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,хвати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,хвачу́
2nd Sing,хва́тишь
3rd Sing,хва́тит
1st Pl,хва́тим
2nd Pl,хва́тите
3rd Pl,хва́тят
Past M,хвати́л
Past F,хвати́ла
Past N,хвати́ло
Past PL,хвати́ли
Imp S,хвати́
Imp PL,хвати́те
