Infinitive,хва́стать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,хва́стающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,хва́ставший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,хва́стая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,хва́став
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,хва́ставши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,хва́стаю
2nd Sing,хва́стаешь
3rd Sing,хва́стает
1st Pl,хва́стаем
2nd Pl,хва́стаете
3rd Pl,хва́стают
Past M,хва́стал
Past F,хва́стала
Past N,хва́стало
Past PL,хва́стали
Imp S,хва́стай
Imp PL,хва́стайте
