Infinitive,хва́статься
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,хва́стающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,хва́ставшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,хва́стаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,хва́ставшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,хва́стаюсь
2nd Sing,хва́стаешься
3rd Sing,хва́стается
1st Pl,хва́стаемся
2nd Pl,хва́стаетесь
3rd Pl,хва́стаются
Past M,хва́стался
Past F,хва́сталась
Past N,хва́сталось
Past PL,хва́стались
Imp S,хва́стайся
Imp PL,хва́стайтесь
