Infinitive,хвали́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,хваля́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,хвали́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,хваля́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,хвали́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,хвалю́сь
2nd Sing,хва́лишься
3rd Sing,хва́лится
1st Pl,хва́лимся
2nd Pl,хва́литесь
3rd Pl,хва́лятся
Past M,хвали́лся
Past F,хвали́лась
Past N,хвали́лось
Past PL,хвали́лись
Imp S,хвали́сь
Imp PL,хвали́тесь
