Infinitive,сче́сть
Zaliznyak Class,7*b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сочтённый
PART:0:Participle Type,passive
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сочтя́
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,счётши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,сочту́
2nd Sing,сочтёшь
3rd Sing,сочтёт
1st Pl,сочтём
2nd Pl,сочтёте
3rd Pl,сочту́т
Past M,счёл
Past F,сочла́
Past N,сочло́
Past PL,сочли́
Imp S,сочти́
Imp PL,сочти́те
