Infinitive,счита́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,счита́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,счита́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,счита́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,счита́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,счита́юсь
2nd Sing,счита́ешься
3rd Sing,счита́ется
1st Pl,счита́емся
2nd Pl,счита́етесь
3rd Pl,счита́ются
Past M,счита́лся
Past F,счита́лась
Past N,счита́лось
Past PL,счита́лись
Imp S,счита́йся
Imp PL,счита́йтесь
