Infinitive,жени́ться
Zaliznyak Class,4c④
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,же́нящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,жени́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,женя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,жени́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,женю́сь
2nd Sing,же́нишься
3rd Sing,же́нится
1st Pl,же́нимся
2nd Pl,же́нитесь
3rd Pl,же́нятся
Past M,жени́лся
Past F,жени́лась
Past N,жени́лось
Past PL,жени́лись
Imp S,жени́сь
Imp PL,жени́тесь
