Infinitive,же́ртвовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,же́ртвующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,же́ртвовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,же́ртвуемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,же́ртвованный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,же́ртвуя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,же́ртвовав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,же́ртвовавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,же́ртвую
2nd Sing,же́ртвуешь
3rd Sing,же́ртвует
1st Pl,же́ртвуем
2nd Pl,же́ртвуете
3rd Pl,же́ртвуют
Past M,же́ртвовал
Past F,же́ртвовала
Past N,же́ртвовало
Past PL,же́ртвовали
Imp S,же́ртвуй
Imp PL,же́ртвуйте
