Infinitive,жестикули́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,жестикули́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,жестикули́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,жестикули́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,жестикули́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,жестикули́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,жестикули́рую
2nd Sing,жестикули́руешь
3rd Sing,жестикули́рует
1st Pl,жестикули́руем
2nd Pl,жестикули́руете
3rd Pl,жестикули́руют
Past M,жестикули́ровал
Past F,жестикули́ровала
Past N,жестикули́ровало
Past PL,жестикули́ровали
Imp S,жестикули́руй
Imp PL,жестикули́руйте
