Infinitive,ха́ркнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ха́ркнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ха́ркнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,ха́ркнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,ха́ркну
2nd Sing,ха́ркнешь
3rd Sing,ха́ркнет
1st Pl,ха́ркнем
2nd Pl,ха́ркнете
3rd Pl,ха́ркнут
Past M,ха́ркнул
Past F,ха́ркнула
Past N,ха́ркнуло
Past PL,ха́ркнули
Imp S,ха́ркни
Imp PL,ха́ркните
