Infinitive,халту́рить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,халту́рящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,халту́ривший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,халту́ря
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,халту́рив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,халту́ривши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,халту́рю
2nd Sing,халту́ришь
3rd Sing,халту́рит
1st Pl,халту́рим
2nd Pl,халту́рите
3rd Pl,халту́рят
Past M,халту́рил
Past F,халту́рила
Past N,халту́рило
Past PL,халту́рили
Imp S,халту́рь
Imp PL,халту́рьте
