Infinitive,характеризова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,характеризу́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,характеризова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,характеризу́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,характеризова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,характеризу́юсь
2nd Sing,характеризу́ешься
3rd Sing,характеризу́ется
1st Pl,характеризу́емся
2nd Pl,характеризу́етесь
3rd Pl,характеризу́ются
Past M,характеризова́лся
Past F,характеризова́лась
Past N,характеризова́лось
Past PL,характеризова́лись
Imp S,характеризу́йся
Imp PL,характеризу́йтесь
