Infinitive,ха́ркать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ха́ркающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ха́ркавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ха́ркая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ха́ркав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ха́ркавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ха́ркаю
2nd Sing,ха́ркаешь
3rd Sing,ха́ркает
1st Pl,ха́ркаем
2nd Pl,ха́ркаете
3rd Pl,ха́ркают
Past M,ха́ркал
Past F,ха́ркала
Past N,ха́ркало
Past PL,ха́ркали
Imp S,ха́ркай
Imp PL,ха́ркайте
