Infinitive,брыка́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,брыка́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,брыка́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,брыка́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,брыка́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,брыка́юсь
2nd Sing,брыка́ешься
3rd Sing,брыка́ется
1st Pl,брыка́емся
2nd Pl,брыка́етесь
3rd Pl,брыка́ются
Past M,брыка́лся
Past F,брыка́лась
Past N,брыка́лось
Past PL,брыка́лись
Imp S,брыка́йся
Imp PL,брыка́йтесь
