Infinitive,бри́ться
Zaliznyak Class,12a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,бре́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,бри́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бре́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,бри́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,бре́юсь
2nd Sing,бре́ешься
3rd Sing,бре́ется
1st Pl,бре́емся
2nd Pl,бре́етесь
3rd Pl,бре́ются
Past M,бри́лся
Past F,бри́лась
Past N,бри́лось
Past PL,бри́лись
Imp S,бре́йся
Imp PL,бре́йтесь
