Infinitive,броса́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,броса́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,броса́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,броса́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,броса́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,броса́юсь
2nd Sing,броса́ешься
3rd Sing,броса́ется
1st Pl,броса́емся
2nd Pl,броса́етесь
3rd Pl,броса́ются
Past M,броса́лся
Past F,броса́лась
Past N,броса́лось
Past PL,броса́лись
Imp S,броса́йся
Imp PL,броса́йтесь
