Infinitive,брани́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,браня́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,брани́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,браня́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,брани́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,браню́сь
2nd Sing,брани́шься
3rd Sing,брани́тся
1st Pl,брани́мся
2nd Pl,брани́тесь
3rd Pl,браня́тся
Past M,брани́лся
Past F,брани́лась
Past N,брани́лось
Past PL,брани́лись
Imp S,брани́сь
Imp PL,брани́тесь
