Infinitive,бренча́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,бренча́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,бренча́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бренча́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,бренча́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,бренча́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,бренчу́
2nd Sing,бренчи́шь
3rd Sing,бренчи́т
1st Pl,бренчи́м
2nd Pl,бренчи́те
3rd Pl,бренча́т
Past M,бренча́л
Past F,бренча́ла
Past N,бренча́ло
Past PL,бренча́ли
Imp S,бренчи́
Imp PL,бренчи́те
