Infinitive,бра́ться
Zaliznyak Class,6°b/c''
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,беру́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,бра́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,беря́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,бра́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,беру́сь
2nd Sing,берёшься
3rd Sing,берётся
1st Pl,берёмся
2nd Pl,берётесь
3rd Pl,беру́тся
Past M,бра́лся
Past F,брала́сь
Past N,брало́сь
Past PL,брали́сь
Imp S,бери́сь
Imp PL,бери́тесь
