Infinitive,брюзжа́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,брюзжа́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,брюзжа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,брюзжа́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,брюзжа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,брюзжа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,брюзжу́
2nd Sing,брюзжи́шь
3rd Sing,брюзжи́т
1st Pl,брюзжи́м
2nd Pl,брюзжи́те
3rd Pl,брюзжа́т
Past M,брюзжа́л
Past F,брюзжа́ла
Past N,брюзжа́ло
Past PL,брюзжа́ли
Imp S,брюзжи́
Imp PL,брюзжи́те
