Infinitive,бре́зговать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,бре́згующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,бре́зговавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бре́згуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,бре́зговав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,бре́зговавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,бре́згую
2nd Sing,бре́згуешь
3rd Sing,бре́згует
1st Pl,бре́згуем
2nd Pl,бре́згуете
3rd Pl,бре́згуют
Past M,бре́зговал
Past F,бре́зговала
Past N,бре́зговало
Past PL,бре́зговали
Imp S,бре́згуй
Imp PL,бре́згуйте
