Infinitive,бря́кнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,бря́кнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,бря́кнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бря́кнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,бря́кнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,бря́кну
2nd Sing,бря́кнешь
3rd Sing,бря́кнет
1st Pl,бря́кнем
2nd Pl,бря́кнете
3rd Pl,бря́кнут
Past M,бря́кнул
Past F,бря́кнула
Past N,бря́кнуло
Past PL,бря́кнули
Imp S,бря́кни
Imp PL,бря́кните
