Infinitive,бры́знуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,бры́знувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,бры́знув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,бры́знувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,бры́зну
2nd Sing,бры́знешь
3rd Sing,бры́знет
1st Pl,бры́знем
2nd Pl,бры́знете
3rd Pl,бры́знут
Past M,бры́знул
Past F,бры́знула
Past N,бры́знуло
Past PL,бры́знули
Imp S,бры́зни
Imp PL,бры́зните
