Infinitive,бре́зжить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,бре́зжащий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,бре́зживший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бре́зжа
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,бре́зжив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,бре́зживши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,бре́зжу
2nd Sing,бре́зжишь
3rd Sing,бре́зжит
1st Pl,бре́зжим
2nd Pl,бре́зжите
3rd Pl,бре́зжат
Past M,бре́зжил
Past F,бре́зжила
Past N,бре́зжило
Past PL,бре́зжили
Imp S,бре́зжи
Imp PL,бре́зжите
