Infinitive,бро́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,бро́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,бро́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бро́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,бро́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,бро́шу
2nd Sing,бро́сишь
3rd Sing,бро́сит
1st Pl,бро́сим
2nd Pl,бро́сите
3rd Pl,бро́сят
Past M,бро́сил
Past F,бро́сила
Past N,бро́сило
Past PL,бро́сили
Imp S,бро́сь
Imp PL,бро́сьте
