Infinitive,бре́дить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,бре́дящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,бре́дивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бре́дя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,бре́див
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,бре́дивши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,бре́жу
2nd Sing,бре́дишь
3rd Sing,бре́дит
1st Pl,бре́дим
2nd Pl,бре́дите
3rd Pl,бре́дят
Past M,бре́дил
Past F,бре́дила
Past N,бре́дило
Past PL,бре́дили
Imp S,бре́дь
Imp PL,бре́дьте
