Infinitive,бреха́ть
Zaliznyak Class,6c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,бре́шущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,бреха́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бреша́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,бреха́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,бреха́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,брешу́
2nd Sing,бре́шешь
3rd Sing,бре́шет
1st Pl,бре́шем
2nd Pl,бре́шете
3rd Pl,бре́шут
Past M,бреха́л
Past F,бреха́ла
Past N,бреха́ло
Past PL,бреха́ли
Imp S,бреши́
Imp PL,бреши́те
