Infinitive,брести́
Zaliznyak Class,7b/b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,бреду́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,бре́дший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бредя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,бре́дши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,бреду́
2nd Sing,бредёшь
3rd Sing,бредёт
1st Pl,бредём
2nd Pl,бредёте
3rd Pl,бреду́т
Past M,брёл
Past F,брела́
Past N,брело́
Past PL,брели́
Imp S,бреди́
Imp PL,бреди́те
