Infinitive,усомни́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,усомни́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,усомни́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,усомню́сь
2nd Sing,усомни́шься
3rd Sing,усомни́тся
1st Pl,усомни́мся
2nd Pl,усомни́тесь
3rd Pl,усомня́тся
Past M,усомни́лся
Past F,усомни́лась
Past N,усомни́лось
Past PL,усомни́лись
Imp S,усомни́сь
Imp PL,усомни́тесь
