Infinitive,ускольза́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ускольза́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ускольза́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ускольза́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ускольза́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ускольза́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ускольза́ю
2nd Sing,ускольза́ешь
3rd Sing,ускольза́ет
1st Pl,ускольза́ем
2nd Pl,ускольза́ете
3rd Pl,ускольза́ют
Past M,ускольза́л
Past F,ускольза́ла
Past N,ускольза́ло
Past PL,ускольза́ли
Imp S,ускольза́й
Imp PL,ускольза́йте
