Infinitive,устреми́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,устреми́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,устреми́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,устремлю́сь
2nd Sing,устреми́шься
3rd Sing,устреми́тся
1st Pl,устреми́мся
2nd Pl,устреми́тесь
3rd Pl,устремя́тся
Past M,устреми́лся
Past F,устреми́лась
Past N,устреми́лось
Past PL,устреми́лись
Imp S,устреми́сь
Imp PL,устреми́тесь
