Infinitive,устана́вливаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,устана́вливающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,устана́вливавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,устана́вливаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,устана́вливавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,устана́вливаюсь
2nd Sing,устана́вливаешься
3rd Sing,устана́вливается
1st Pl,устана́вливаемся
2nd Pl,устана́вливаетесь
3rd Pl,устана́вливаются
Past M,устана́вливался
Past F,устана́вливалась
Past N,устана́вливалось
Past PL,устана́вливались
Imp S,устана́вливайся
Imp PL,устана́вливайтесь
