Infinitive,успоко́иться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,успоко́ившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,успоко́ившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,успоко́юсь
2nd Sing,успоко́ишься
3rd Sing,успоко́ится
1st Pl,успоко́имся
2nd Pl,успоко́итесь
3rd Pl,успоко́ятся
Past M,успоко́ился
Past F,успоко́илась
Past N,успоко́илось
Past PL,успоко́ились
Imp S,успоко́йся
Imp PL,успоко́йтесь
