Infinitive,услужи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,услужи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,услужи́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,услужи́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,услужу́
2nd Sing,услу́жишь
3rd Sing,услу́жит
1st Pl,услу́жим
2nd Pl,услу́жите
3rd Pl,услу́жат
Past M,услужи́л
Past F,услужи́ла
Past N,услужи́ло
Past PL,услужи́ли
Imp S,услужи́
Imp PL,услужи́те
