Infinitive,уступи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уступи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,усту́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уступи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уступи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уступлю́
2nd Sing,усту́пишь
3rd Sing,усту́пит
1st Pl,усту́пим
2nd Pl,усту́пите
3rd Pl,усту́пят
Past M,уступи́л
Past F,уступи́ла
Past N,уступи́ло
Past PL,уступи́ли
Imp S,уступи́
Imp PL,уступи́те
