Infinitive,успоко́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,успоко́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,успоко́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,успоко́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,успоко́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,успоко́ю
2nd Sing,успоко́ишь
3rd Sing,успоко́ит
1st Pl,успоко́им
2nd Pl,успоко́ите
3rd Pl,успоко́ят
Past M,успоко́ил
Past F,успоко́ила
Past N,успоко́ило
Past PL,успоко́или
Imp S,успоко́й
Imp PL,успоко́йте
