Infinitive,уси́ливаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уси́ливающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,уси́ливавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уси́ливаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,уси́ливавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уси́ливаюсь
2nd Sing,уси́ливаешься
3rd Sing,уси́ливается
1st Pl,уси́ливаемся
2nd Pl,уси́ливаетесь
3rd Pl,уси́ливаются
Past M,уси́ливался
Past F,уси́ливалась
Past N,уси́ливалось
Past PL,уси́ливались
Imp S,уси́ливайся
Imp PL,уси́ливайтесь
