Infinitive,усо́хнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,усо́хший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,усо́хши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,усо́хну
2nd Sing,усо́хнешь
3rd Sing,усо́хнет
1st Pl,усо́хнем
2nd Pl,усо́хнете
3rd Pl,усо́хнут
Past M,усо́х
Past F,усо́хла
Past N,усо́хло
Past PL,усо́хли
Imp S,усо́хни
Imp PL,усо́хните
