Infinitive,усложни́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,усложни́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,усложнённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,усложни́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,усложни́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,усложню́
2nd Sing,усложни́шь
3rd Sing,усложни́т
1st Pl,усложни́м
2nd Pl,усложни́те
3rd Pl,усложня́т
Past M,усложни́л
Past F,усложни́ла
Past N,усложни́ло
Past PL,усложни́ли
Imp S,усложни́
Imp PL,усложни́те
