Infinitive,усмеха́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,усмеха́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,усмеха́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,усмеха́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,усмеха́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,усмеха́юсь
2nd Sing,усмеха́ешься
3rd Sing,усмеха́ется
1st Pl,усмеха́емся
2nd Pl,усмеха́етесь
3rd Pl,усмеха́ются
Past M,усмеха́лся
Past F,усмеха́лась
Past N,усмеха́лось
Past PL,усмеха́лись
Imp S,усмеха́йся
Imp PL,усмеха́йтесь
