Infinitive,ускользну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ускользну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ускользну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,ускользну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,ускользну́
2nd Sing,ускользнёшь
3rd Sing,ускользнёт
1st Pl,ускользнём
2nd Pl,ускользнёте
3rd Pl,ускользну́т
Past M,ускользну́л
Past F,ускользну́ла
Past N,ускользну́ло
Past PL,ускользну́ли
Imp S,ускользни́
Imp PL,ускользни́те
