Infinitive,усло́виться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,усло́вившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,усло́вившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,усло́влюсь
2nd Sing,усло́вишься
3rd Sing,усло́вится
1st Pl,усло́вимся
2nd Pl,усло́витесь
3rd Pl,усло́вятся
Past M,усло́вился
Past F,усло́вилась
Past N,усло́вилось
Past PL,усло́вились
Imp S,усло́вься
Imp PL,усло́вьтесь
