Infinitive,усиде́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,усиде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уси́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,усиде́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,усиде́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,усижу́
2nd Sing,усиди́шь
3rd Sing,усиди́т
1st Pl,усиди́м
2nd Pl,усиди́те
3rd Pl,усидя́т
Past M,усиде́л
Past F,усиде́ла
Past N,усиде́ло
Past PL,усиде́ли
Imp S,усиди́
Imp PL,усиди́те
