Infinitive,усыпи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,усыпи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,усыплённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,усыпи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,усыпи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,усыплю́
2nd Sing,усыпи́шь
3rd Sing,усыпи́т
1st Pl,усыпи́м
2nd Pl,усыпи́те
3rd Pl,усыпя́т
Past M,усыпи́л
Past F,усыпи́ла
Past N,усыпи́ло
Past PL,усыпи́ли
Imp S,усыпи́
Imp PL,усыпи́те
