Infinitive,усади́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,усади́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уса́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,усади́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,усади́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,усажу́
2nd Sing,уса́дишь
3rd Sing,уса́дит
1st Pl,уса́дим
2nd Pl,уса́дите
3rd Pl,уса́дят
Past M,усади́л
Past F,усади́ла
Past N,усади́ло
Past PL,усади́ли
Imp S,усади́
Imp PL,усади́те
