Infinitive,уследи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уследи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,услежённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уследи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уследи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,услежу́
2nd Sing,уследи́шь
3rd Sing,уследи́т
1st Pl,уследи́м
2nd Pl,уследи́те
3rd Pl,уследя́т
Past M,уследи́л
Past F,уследи́ла
Past N,уследи́ло
Past PL,уследи́ли
Imp S,уследи́
Imp PL,уследи́те
