Infinitive,устро́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,устро́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,устро́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,устро́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,устро́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,устро́ю
2nd Sing,устро́ишь
3rd Sing,устро́ит
1st Pl,устро́им
2nd Pl,устро́ите
3rd Pl,устро́ят
Past M,устро́ил
Past F,устро́ила
Past N,устро́ило
Past PL,устро́или
Imp S,устро́й
Imp PL,устро́йте
