Infinitive,устла́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,устла́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,у́стланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,устла́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,устла́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,устелю́
2nd Sing,усте́лешь
3rd Sing,усте́лет
1st Pl,усте́лем
2nd Pl,усте́лете
3rd Pl,усте́лют
Past M,устла́л
Past F,устла́ла
Past N,устла́ло
Past PL,устла́ли
Imp S,устели́
Imp PL,устели́те
