Infinitive,усе́рдствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,усе́рдствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,усе́рдствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,усе́рдствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,усе́рдствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,усе́рдствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,усе́рдствую
2nd Sing,усе́рдствуешь
3rd Sing,усе́рдствует
1st Pl,усе́рдствуем
2nd Pl,усе́рдствуете
3rd Pl,усе́рдствуют
Past M,усе́рдствовал
Past F,усе́рдствовала
Past N,усе́рдствовало
Past PL,усе́рдствовали
Imp S,усе́рдствуй
Imp PL,усе́рдствуйте
