Infinitive,установи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,установи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,установи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,установлю́сь
2nd Sing,устано́вишься
3rd Sing,устано́вится
1st Pl,устано́вимся
2nd Pl,устано́витесь
3rd Pl,устано́вятся
Past M,установи́лся
Past F,установи́лась
Past N,установи́лось
Past PL,установи́лись
Imp S,установи́сь
Imp PL,установи́тесь
