Infinitive,устремля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,устремля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,устремля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,устремля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,устремля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,устремля́юсь
2nd Sing,устремля́ешься
3rd Sing,устремля́ется
1st Pl,устремля́емся
2nd Pl,устремля́етесь
3rd Pl,устремля́ются
Past M,устремля́лся
Past F,устремля́лась
Past N,устремля́лось
Past PL,устремля́лись
Imp S,устремля́йся
Imp PL,устремля́йтесь
