Infinitive,уста́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уста́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уста́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уста́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уста́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уста́влю
2nd Sing,уста́вишь
3rd Sing,уста́вит
1st Pl,уста́вим
2nd Pl,уста́вите
3rd Pl,уста́вят
Past M,уста́вил
Past F,уста́вила
Past N,уста́вило
Past PL,уста́вили
Imp S,уста́вь
Imp PL,уста́вьте
