Infinitive,уса́живаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уса́живающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,уса́живавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уса́живаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,уса́живавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уса́живаюсь
2nd Sing,уса́живаешься
3rd Sing,уса́живается
1st Pl,уса́живаемся
2nd Pl,уса́живаетесь
3rd Pl,уса́живаются
Past M,уса́живался
Past F,уса́живалась
Past N,уса́живалось
Past PL,уса́живались
Imp S,уса́живайся
Imp PL,уса́живайтесь
