Infinitive,устраня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,устраня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,устраня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,устраня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,устраня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,устраня́юсь
2nd Sing,устраня́ешься
3rd Sing,устраня́ется
1st Pl,устраня́емся
2nd Pl,устраня́етесь
3rd Pl,устраня́ются
Past M,устраня́лся
Past F,устраня́лась
Past N,устраня́лось
Past PL,устраня́лись
Imp S,устраня́йся
Imp PL,устраня́йтесь
