Infinitive,усугубля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,усугубля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,усугубля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,усугубля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,усугубля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,усугубля́юсь
2nd Sing,усугубля́ешься
3rd Sing,усугубля́ется
1st Pl,усугубля́емся
2nd Pl,усугубля́етесь
3rd Pl,усугубля́ются
Past M,усугубля́лся
Past F,усугубля́лась
Past N,усугубля́лось
Past PL,усугубля́лись
Imp S,усугубля́йся
Imp PL,усугубля́йтесь
