Infinitive,усы́пать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,усы́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,усы́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,усы́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,усы́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,усы́плю
2nd Sing,усы́плешь
3rd Sing,усы́плет
1st Pl,усы́плем
2nd Pl,усы́плете
3rd Pl,усы́плют
Past M,усы́пал
Past F,усы́пала
Past N,усы́пало
Past PL,усы́пали
Imp S,усы́пь
Imp PL,усы́пьте
