Infinitive,усва́иваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,усва́ивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,усва́ивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,усва́иваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,усва́ивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,усва́иваюсь
2nd Sing,усва́иваешься
3rd Sing,усва́ивается
1st Pl,усва́иваемся
2nd Pl,усва́иваетесь
3rd Pl,усва́иваются
Past M,усва́ивался
Past F,усва́ивалась
Past N,усва́ивалось
Past PL,усва́ивались
Imp S,усва́ивайся
Imp PL,усва́ивайтесь
