Infinitive,устоя́ться
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,устоя́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,устоя́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,устою́сь
2nd Sing,устои́шься
3rd Sing,устои́тся
1st Pl,устои́мся
2nd Pl,устои́тесь
3rd Pl,устоя́тся
Past M,устоя́лся
Past F,устоя́лась
Past N,устоя́лось
Past PL,устоя́лись
Imp S,—
Imp PL,—
